year,month,state,handgun_unadjusted,long_gun_unadjusted,total_unadjusted,handgun_adjusted,long_gun_adjusted,total_adjusted
2000,01,Alabama,8636,11350,19986,7905,13030,20935
2000,01,Alaska,947,1474,2421,1252,2401,3653
2000,01,Arizona,6596,5497,12092,6652,6106,12758
2000,01,Arkansas,4265,8914,13179,4105,11275,15379
2000,01,California,24982,25113,50095,25162,28614,53776
2000,01,Colorado,12159,15027,27186,12003,17529,29532
2000,01,Connecticut,3,3,7,0,0,0
2000,01,Delaware,485,691,1176,499,858,1357
2000,01,District of Columbia,4,0,4,5,,5
2000,01,Florida,11338,10132,21470,11067,10837,21903
2000,01,Georgia,8881,9986,18867,8358,11870,20228
2000,01,Guam,8,19,26,9,18,27
2000,01,Hawaii,0,0,0,,,
2000,01,Idaho,1729,3101,4830,1830,4264,6094
2000,01,Illinois,7024,7963,14986,6562,8743,15305
2000,01,Indiana,2458,13676,16135,2256,17170,19426
2000,01,Iowa,48,2822,2870,46,3887,3934
2000,01,Kansas,3449,5492,8941,3039,6216,9255
2000,01,Kentucky,8551,11060,19612,7953,13323,21276
2000,01,Louisiana,6089,8177,14266,5909,11365,17274
2000,01,Maine,1104,1808,2913,1188,2978,4166
2000,01,Mariana Islands,0,0,0,,,
2000,01,Maryland,162,3192,3354,145,4088,4233
2000,01,Massachusetts,1168,796,1965,1055,830,1884
2000,01,Michigan,81,11132,11213,78,16129,16207
2000,01,Minnesota,2817,5664,8481,2805,9904,12709
2000,01,Mississippi,5657,7964,13621,5239,10425,15664
2000,01,Missouri,3821,11972,15794,3545,14249,17794
2000,01,Montana,1634,3317,4950,1949,4831,6780
2000,01,Nebraska,48,1898,1946,43,2510,2553
2000,01,Nevada,2586,2220,4806,2591,2538,5130
2000,01,New Hampshire,1267,1759,3026,1268,2239,3508
2000,01,New Jersey,1301,1601,2902,1219,1623,2843
2000,01,New Mexico,2786,4280,7066,2887,4918,7805
2000,01,New York,770,6134,6904,753,8750,9503
2000,01,North Carolina,1529,12649,14178,1521,15033,16554
2000,01,North Dakota,524,1377,1901,524,2331,2855
2000,01,Ohio,10346,12395,22740,10362,15767,26129
2000,01,Oklahoma,5079,8326,13405,4694,9553,14247
2000,01,Oregon,4851,5948,10799,4958,7682,12640
2000,01,Pennsylvania,719,38058,38777,683,43159,43842
2000,01,Puerto Rico,209,68,277,239,97,336
2000,01,Rhode Island,480,471,950,450,485,935
2000,01,South Carolina,4816,5574,10390,4301,6963,11265
2000,01,South Dakota,517,1704,2221,510,2450,2960
2000,01,Tennessee,10659,10452,21111,10214,12070,22284
2000,01,Texas,19552,29361,48914,18424,36155,54579
2000,01,United States,212853,363663,576517,210981,450197,661178
2000,01,Utah,2012,3105,5117,2142,3943,6086
2000,01,Vermont,488,759,1247,594,1305,1898
2000,01,Virgin Islands,0,0,0,,,
2000,01,Virginia,6801,8351,15152,6925,10105,17030
2000,01,Washington,3212,5550,8762,3177,7008,10185
2000,01,West Virginia,3537,6083,9620,3569,8270,11838
2000,01,Wisconsin,3774,7637,11411,3829,11446,15276
2000,01,Wyoming,892,1562,2454,959,1948,2907
2000,02,Alabama,9900,11659,21559,7887,13212,21099
2000,02,Alaska,1170,1788,2958,1327,2597,3924
2000,02,Arizona,7624,6130,13754,6524,6138,12662
2000,02,Arkansas,6163,11419,17582,4430,12721,17151
2000,02,California,25493,24629,50122,25251,28545,53796
2000,02,Colorado,13071,15360,28432,12813,17823,30635
2000,02,Connecticut,0,0,0,0,0,0
2000,02,Delaware,538,711,1248,509,927,1435
2000,02,District of Columbia,1,0,1,1,,1
2000,02,Florida,12652,10471,23123,11522,11340,22862
2000,02,Georgia,10462,11084,21546,8045,12180,20225
2000,02,Guam,12,6,18,11,6,17
2000,02,Hawaii,0,0,0,,,
2000,02,Idaho,2144,3854,5998,1968,4408,6377
2000,02,Illinois,7373,8062,15435,6170,8359,14529
2000,02,Indiana,2704,13508,16212,2114,15856,17971
2000,02,Iowa,58,3061,3120,62,3854,3916
2000,02,Kansas,3749,5541,9290,3201,6455,9656
2000,02,Kentucky,10633,13647,24279,8431,14070,22501
2000,02,Louisiana,7187,7691,14879,5757,11462,17218
2000,02,Maine,1220,1833,3052,1261,2925,4187
2000,02,Mariana Islands,0,0,0,,,
2000,02,Maryland,198,3708,3906,197,4170,4368
2000,02,Massachusetts,1559,828,2387,1435,898,2334
2000,02,Michigan,102,12197,12299,87,15472,15559
2000,02,Minnesota,3131,7627,10758,3010,11498,14507
2000,02,Mississippi,7961,8999,16960,5417,10495,15912
2000,02,Missouri,4631,14141,18772,3897,14805,18702
2000,02,Montana,2006,3962,5969,2025,5006,7031
2000,02,Nebraska,59,1848,1907,59,2579,2638
2000,02,Nevada,2688,2348,5037,2610,2524,5135
2000,02,New Hampshire,1294,1625,2918,1326,2192,3518
2000,02,New Jersey,1553,1553,3106,1499,1753,3253
2000,02,New Mexico,3484,5195,8679,2944,5038,7982
2000,02,New York,1065,6736,7801,952,8728,9680
2000,02,North Carolina,2091,14776,16867,1539,16223,17763
2000,02,North Dakota,573,1544,2118,550,2374,2924
2000,02,Ohio,12658,14548,27205,10535,16133,26667
2000,02,Oklahoma,6436,10447,16883,4932,10174,15106
2000,02,Oregon,5620,7294,12914,5386,7909,13294
2000,02,Pennsylvania,574,41264,41838,585,44529,45114
2000,02,Puerto Rico,393,78,471,424,102,526
2000,02,Rhode Island,590,452,1042,555,490,1046
2000,02,South Carolina,6081,6229,12310,4482,7192,11673
2000,02,South Dakota,616,1933,2549,521,2644,3165
2000,02,Tennessee,12132,11517,23649,9908,11864,21772
2000,02,Texas,22384,31152,53536,18499,37599,56098
2000,02,United States,246866,404133,651000,217480,460593,678073
2000,02,Utah,2668,3821,6489,2208,4060,6268
2000,02,Vermont,670,1112,1782,581,1350,1931
2000,02,Virgin Islands,0,0,0,,,
2000,02,Virginia,7888,9754,17642,6937,11254,18191
2000,02,Washington,3691,6581,10272,3314,7297,10611
2000,02,West Virginia,4638,8348,12986,3836,9475,13311
2000,02,Wisconsin,4225,10101,14326,3900,11654,15553
2000,02,Wyoming,1055,1960,3015,969,2219,3189
2000,03,Alabama,8850,10132,18982,7703,12618,20320
2000,03,Alaska,1351,2080,3431,1324,2498,3823
2000,03,Arizona,7800,5988,13788,6718,6176,12894
2000,03,Arkansas,5313,9332,14645,4446,11637,16083
2000,03,California,27952,26560,54512,24446,26663,51109
2000,03,Colorado,14708,17161,31869,12426,17438,29864
2000,03,Connecticut,0,0,0,0,0,0
2000,03,Delaware,613,779,1392,507,911,1418
2000,03,District of Columbia,2,0,2,1,,1
2000,03,Florida,12814,9858,22672,11757,10951,22708
2000,03,Georgia,9532,9906,19437,8353,11712,20066
2000,03,Guam,13,12,25,13,13,26
2000,03,Hawaii,0,0,0,,,
2000,03,Idaho,2140,4091,6230,1889,4339,6227
2000,03,Illinois,7481,8576,16057,6074,8177,14252
2000,03,Indiana,2879,13736,16614,2166,15707,17873
2000,03,Iowa,61,3134,3194,58,3328,3385
2000,03,Kansas,3975,5380,9356,3062,6123,9185
2000,03,Kentucky,9564,12183,21747,8447,13073,21519
2000,03,Louisiana,6995,6806,13801,5794,10512,16306
2000,03,Maine,1598,2314,3913,1297,2872,4168
2000,03,Mariana Islands,0,0,0,,,
2000,03,Maryland,176,3695,3871,164,4177,4341
2000,03,Massachusetts,1856,978,2834,1415,852,2268
2000,03,Michigan,108,13358,13466,82,14387,14468
2000,03,Minnesota,4192,10361,14553,3020,10923,13943
2000,03,Mississippi,6392,7376,13768,5434,9994,15428
2000,03,Missouri,4661,13548,18208,3711,14012,17723
2000,03,Montana,2277,4470,6747,1922,4793,6715
2000,03,Nebraska,47,1848,1895,45,2503,2548
2000,03,Nevada,2676,2351,5027,2299,2165,4464
2000,03,New Hampshire,1617,2039,3656,1376,2154,3530
2000,03,New Jersey,1931,1737,3667,1534,1695,3229
2000,03,New Mexico,3658,5005,8662,2925,4886,7811
2000,03,New York,1465,8368,9833,1230,9396,10626
2000,03,North Carolina,1657,12717,14374,1611,15336,16947
2000,03,North Dakota,736,1962,2698,569,2400,2969
2000,03,Ohio,12838,15041,27880,10136,15351,25487
2000,03,Oklahoma,5636,8622,14258,4923,9856,14779
2000,03,Oregon,6111,7785,13895,5087,7568,12655
2000,03,Pennsylvania,814,52890,53704,659,45227,45887
2000,03,Puerto Rico,605,85,690,620,97,717
2000,03,Rhode Island,646,522,1168,532,496,1028
2000,03,South Carolina,5367,5809,11176,4662,6801,11463
2000,03,South Dakota,681,2087,2768,522,2467,2989
2000,03,Tennessee,11757,10506,22263,9978,11544,21522
2000,03,Texas,22163,28530,50692,19271,37244,56515
2000,03,United States,250958,415462,666421,216576,446306,662882
2000,03,Utah,2390,3795,6185,2213,4132,6345
2000,03,Vermont,791,1385,2176,626,1281,1907
2000,03,Virgin Islands,0,0,0,,,
2000,03,Virginia,9127,10767,19894,7579,12032,19611
2000,03,Washington,4166,7132,11298,3505,7265,10771
2000,03,West Virginia,4716,7428,12144,3754,8265,12018
2000,03,Wisconsin,4944,13349,18293,3945,11592,15537
2000,03,Wyoming,1120,1890,3010,963,2136,3098
2000,04,Alabama,7272,7247,14519,8144,13212,21356
2000,04,Alaska,1454,2410,3864,1309,2380,3689
2000,04,Arizona,6690,5214,11904,6574,6284,12858
2000,04,Arkansas,4200,7239,11439,4684,12127,16811
2000,04,California,26809,25259,52068,25037,27714,52751
2000,04,Colorado,12156,13054,25210,12488,16719,29207
2000,04,Connecticut,6,1,7,0,0,0
2000,04,Delaware,524,707,1231,502,997,1499
2000,04,District of Columbia,3,0,3,2,,2
2000,04,Florida,11535,8138,19672,11936,11488,23424
2000,04,Georgia,7531,6815,14345,8657,12426,21083
2000,04,Guam,10,7,16,9,6,15
2000,04,Hawaii,0,0,0,,,
2000,04,Idaho,1958,3766,5724,1932,4444,6376
2000,04,Illinois,6086,6729,12815,6163,8356,14519
2000,04,Indiana,2005,8433,10438,2102,12769,14871
2000,04,Iowa,38,2476,2515,46,3715,3761
2000,04,Kansas,2566,4059,6625,2934,6258,9192
2000,04,Kentucky,7739,10625,18363,8743,13694,22437
2000,04,Louisiana,5589,5344,10933,6320,11337,17656
2000,04,Maine,1177,2147,3324,1080,2904,3983
2000,04,Mariana Islands,0,0,0,,,
2000,04,Maryland,121,3461,3582,115,4461,4576
2000,04,Massachusetts,1822,960,2782,1826,1059,2885
2000,04,Michigan,120,12458,12577,97,16186,16283
2000,04,Minnesota,3319,9885,13203,2957,11184,14141
2000,04,Mississippi,4966,5245,10211,5630,10562,16192
2000,04,Missouri,3665,12134,15799,3770,14582,18352
2000,04,Montana,2059,4381,6440,1939,4678,6617
2000,04,Nebraska,41,1535,1575,44,2565,2610
2000,04,Nevada,2361,2115,4476,2504,2403,4906
2000,04,New Hampshire,1261,2126,3387,1264,2189,3453
2000,04,New Jersey,1748,1569,3316,1581,1882,3463
2000,04,New Mexico,2687,4332,7019,2905,5106,8010
2000,04,New York,942,8410,9351,840,9574,10414
2000,04,North Carolina,1358,10408,11767,1702,15914,17616
2000,04,North Dakota,614,1838,2452,532,2398,2930
2000,04,Ohio,10743,13076,23818,9924,16251,26175
2000,04,Oklahoma,5311,7621,12932,5133,9907,15041
2000,04,Oregon,4939,7333,12272,4779,7650,12429
2000,04,Pennsylvania,1143,42702,43845,1065,44783,45849
2000,04,Puerto Rico,380,82,462,435,104,539
2000,04,Rhode Island,529,431,960,530,478,1009
2000,04,South Carolina,3955,3915,7869,4419,6994,11413
2000,04,South Dakota,608,1940,2549,553,2684,3238
2000,04,Tennessee,8579,7458,16037,10169,11773,21943
2000,04,Texas,17350,23608,40958,18906,37532,56437
2000,04,United States,207197,347333,554530,215380,452306,667686
2000,04,Utah,1878,2996,4874,1788,4023,5811
2000,04,Vermont,651,1241,1892,614,1246,1859
2000,04,Virgin Islands,0,0,0,,,
2000,04,Virginia,6940,7897,14837,7373,10750,18123
2000,04,Washington,3282,6095,9378,3350,7119,10468
2000,04,West Virginia,3485,6878,10363,3764,8480,12244
2000,04,Wisconsin,4084,11810,15894,3962,12128,16090
2000,04,Wyoming,910,1725,2634,922,2086,3008
2000,05,Alabama,6481,6766,13247,7581,13139,20720
2000,05,Alaska,1159,2295,3454,1236,2553,3789
2000,05,Arizona,5882,4699,10581,6180,5988,12168
2000,05,Arkansas,3840,6116,9956,4443,11767,16210
2000,05,California,26001,23679,49679,25545,26656,52201
2000,05,Colorado,9314,11018,20331,10152,15421,25573
2000,05,Connecticut,0,0,0,0,0,0
2000,05,Delaware,453,519,972,465,803,1268
2000,05,District of Columbia,2,0,2,1,,1
2000,05,Florida,10918,7719,18636,11685,11485,23170
2000,05,Georgia,6652,5713,12365,7817,11004,18821
2000,05,Guam,12,10,22,12,13,24
2000,05,Hawaii,0,0,0,,,
2000,05,Idaho,1826,3306,5132,1874,4293,6166
2000,05,Illinois,5246,5794,11040,5874,8723,14597
2000,05,Indiana,1945,2973,4918,2160,5824,7984
2000,05,Iowa,36,1667,1703,56,3847,3903
2000,05,Kansas,2570,3642,6212,3115,6517,9632
2000,05,Kentucky,6920,7624,14544,8129,13459,21588
2000,05,Louisiana,4957,5215,10172,5725,10903,16628
2000,05,Maine,1065,1663,2728,1195,2863,4058
2000,05,Mariana Islands,1,1,2,,,
2000,05,Maryland,172,2544,2716,173,4302,4476
2000,05,Massachusetts,1064,696,1760,1147,960,2107
2000,05,Michigan,84,9462,9546,86,15979,16065
2000,05,Minnesota,2565,6241,8807,2849,11074,13923
2000,05,Mississippi,4677,4749,9426,5494,10343,15837
2000,05,Missouri,3032,8689,11721,3381,14510,17891
2000,05,Montana,1855,4000,5854,1862,4738,6599
2000,05,Nebraska,31,1354,1385,39,2642,2681
2000,05,Nevada,2335,1972,4308,2383,2412,4795
2000,05,New Hampshire,1112,1598,2710,1268,2160,3428
2000,05,New Jersey,1421,1648,3069,1330,2021,3351
2000,05,New Mexico,2785,3689,6475,2930,4946,7876
2000,05,New York,818,5671,6489,759,8757,9516
2000,05,North Carolina,1425,8490,9914,1628,15407,17036
2000,05,North Dakota,471,1392,1862,487,2178,2664
2000,05,Ohio,7828,9485,17313,8781,15456,24237
2000,05,Oklahoma,4266,6258,10524,4948,10222,15171
2000,05,Oregon,4376,5950,10326,4792,7503,12295
2000,05,Pennsylvania,1863,35582,37445,2061,44097,46158
2000,05,Puerto Rico,372,106,477,382,125,506
2000,05,Rhode Island,454,370,824,480,482,963
2000,05,South Carolina,3766,3292,7059,4428,6376,10804
2000,05,South Dakota,491,1617,2108,550,2663,3213
2000,05,Tennessee,8054,6475,14529,9443,11481,20925
2000,05,Texas,16666,22074,38740,18814,37273,56086
2000,05,United States,186090,283234,469324,201485,430105,631590
2000,05,Utah,1739,2724,4463,2084,4173,6257
2000,05,Vermont,538,822,1360,566,1234,1800
2000,05,Virgin Islands,0,0,0,,,
2000,05,Virginia,6188,6441,12628,6938,10046,16984
2000,05,Washington,3077,5469,8546,3260,6958,10218
2000,05,West Virginia,3042,4962,8004,3606,8479,12085
2000,05,Wisconsin,3385,7537,10922,3980,12432,16413
2000,05,Wyoming,862,1459,2321,906,1897,2802
2000,06,Alabama,7014,7480,14494,8024,13558,21582
2000,06,Alaska,1157,2166,3323,1184,2808,3992
2000,06,Arizona,5864,4822,10686,6694,6274,12968
2000,06,Arkansas,4001,6305,10306,4678,12223,16901
2000,06,California,25094,23471,48565,27108,26784,53892
2000,06,Colorado,10596,12847,23443,12278,17446,29724
2000,06,Connecticut,0,0,0,0,0,0
2000,06,Delaware,430,546,976,472,941,1413
2000,06,District of Columbia,0,0,0,1,,1
2000,06,Florida,11425,8407,19832,12005,11776,23780
2000,06,Georgia,7041,6577,13618,8122,12182,20304
2000,06,Guam,12,12,24,13,15,28
2000,06,Hawaii,0,0,0,,,
2000,06,Idaho,1843,3088,4930,2025,4367,6392
2000,06,Illinois,4811,5240,10052,5915,8559,14474
2000,06,Indiana,1680,3359,5039,2147,5952,8099
2000,06,Iowa,36,1801,1837,44,3874,3918
2000,06,Kansas,2416,3463,5878,2967,6479,9446
2000,06,Kentucky,7388,8253,15641,8758,14067,22826
2000,06,Louisiana,5238,5600,10838,5784,10335,16119
2000,06,Maine,976,1719,2695,1252,3097,4350
2000,06,Mariana Islands,0,0,0,,,
2000,06,Maryland,165,2754,2919,197,4295,4491
2000,06,Massachusetts,1180,667,1847,1321,936,2257
2000,06,Michigan,90,9683,9774,102,16618,16720
2000,06,Minnesota,2702,6670,9372,3153,11758,14911
2000,06,Mississippi,4949,5375,10324,6033,10313,16346
2000,06,Missouri,3289,9023,12312,3938,15203,19141
2000,06,Montana,1808,4148,5956,1919,5110,7030
2000,06,Nebraska,29,1394,1422,38,2585,2623
2000,06,Nevada,2100,1997,4096,2429,2562,4991
2000,06,New Hampshire,1326,1604,2929,1558,2294,3853
2000,06,New Jersey,1606,1661,3267,1692,2215,3907
2000,06,New Mexico,2752,4016,6768,3059,5391,8451
2000,06,New York,787,5150,5937,856,9404,10260
2000,06,North Carolina,1646,9621,11266,1763,15544,17308
2000,06,North Dakota,378,1542,1921,471,2368,2840
2000,06,Ohio,7780,9929,17709,9667,15567,25234
2000,06,Oklahoma,4749,6960,11708,5776,11574,17350
2000,06,Oregon,4362,6153,10515,4655,7667,12322
2000,06,Pennsylvania,858,34222,35080,1311,45607,46918
2000,06,Puerto Rico,402,102,504,413,129,541
2000,06,Rhode Island,450,360,810,489,496,985
2000,06,South Carolina,4015,3779,7794,4883,6894,11777
2000,06,South Dakota,493,1637,2130,568,2761,3329
2000,06,Tennessee,7691,6401,14092,9353,11227,20580
2000,06,Texas,16998,23449,40447,19424,37856,57280
2000,06,United States,187694,292962,480656,215934,448485,664420
2000,06,Utah,1684,2725,4409,1981,4276,6257
2000,06,Vermont,483,763,1246,561,1356,1917
2000,06,Virgin Islands,0,0,0,,,
2000,06,Virginia,5771,6645,12416,7161,10681,17843
2000,06,Washington,2945,5793,8737,3283,7241,10524
2000,06,West Virginia,3240,5054,8294,3928,8906,12834
2000,06,Wisconsin,3059,7027,10086,4010,13104,17114
2000,06,Wyoming,889,1503,2391,945,1966,2911
2000,07,Alabama,6291,7635,13926,7686,13442,21128
2000,07,Alaska,1252,2422,3674,1238,2597,3836
2000,07,Arizona,5661,5093,10754,6185,6291,12475
2000,07,Arkansas,3487,6312,9799,4380,11202,15583
2000,07,California,24365,24970,49335,26651,28100,54751
2000,07,Colorado,9483,12397,21880,11427,17430,28857
2000,07,Connecticut,0,0,0,0,0,0
2000,07,Delaware,400,613,1013,454,985,1440
2000,07,District of Columbia,1,0,1,2,,2
2000,07,Florida,10607,8285,18892,11839,11647,23486
2000,07,Georgia,6659,7283,13942,8152,12493,20645
2000,07,Guam,16,18,34,23,17,39
2000,07,Hawaii,0,0,0,,,
2000,07,Idaho,1785,3126,4912,2162,4426,6588
2000,07,Illinois,4706,5689,10395,5769,8428,14197
2000,07,Indiana,1574,3389,4963,2085,6014,8099
2000,07,Iowa,29,1858,1886,30,4026,4056
2000,07,Kansas,2148,3632,5780,2872,6460,9332
2000,07,Kentucky,6720,8284,15004,8314,13774,22088
2000,07,Louisiana,4918,6465,11383,5422,10445,15867
2000,07,Maine,959,2043,3002,1204,3134,4338
2000,07,Mariana Islands,0,0,0,,,
2000,07,Maryland,161,3053,3213,173,4677,4849
2000,07,Massachusetts,987,684,1671,1319,1028,2348
2000,07,Michigan,82,10627,10710,103,18214,18317
2000,07,Minnesota,2489,7330,9820,3067,11633,14701
2000,07,Mississippi,4650,5697,10347,5644,10100,15744
2000,07,Missouri,2744,9044,11789,3392,14976,18368
2000,07,Montana,1560,3645,5205,1733,4977,6709
2000,07,Nebraska,24,1605,1629,29,2729,2759
2000,07,Nevada,2131,1917,4048,2325,2410,4734
2000,07,New Hampshire,1235,1764,3000,1460,2417,3877
2000,07,New Jersey,1368,1514,2882,1568,2163,3731
2000,07,New Mexico,2389,3688,6078,2790,4967,7757
2000,07,New York,713,5541,6254,829,9645,10474
2000,07,North Carolina,1453,9965,11418,1649,15959,17609
2000,07,North Dakota,375,1531,1906,451,2392,2843
2000,07,Ohio,6919,9850,16770,9436,15002,24438
2000,07,Oklahoma,4232,6439,10671,5164,10471,15634
2000,07,Oregon,3625,5525,9150,4603,7822,12426
2000,07,Pennsylvania,663,34025,34689,855,44083,44938
2000,07,Puerto Rico,317,100,417,336,112,448
2000,07,Rhode Island,392,344,736,456,455,910
2000,07,South Carolina,3607,4202,7809,4655,6821,11476
2000,07,South Dakota,430,1891,2321,564,3002,3566
2000,07,Tennessee,9379,8824,18203,10797,14282,25079
2000,07,Texas,16214,24804,41018,18744,37817,56561
2000,07,United States,176866,304477,481342,210507,450060,660568
2000,07,Utah,1585,2828,4413,1912,4424,6336
2000,07,Vermont,475,868,1343,548,1376,1924
2000,07,Virgin Islands,0,0,0,,,
2000,07,Virginia,5927,7280,13207,6893,10877,17770
2000,07,Washington,2995,5680,8676,3402,7293,10695
2000,07,West Virginia,3065,5616,8680,3716,9239,12954
2000,07,Wisconsin,2831,7626,10458,3806,13716,17522
2000,07,Wyoming,787,1453,2240,927,1900,2827
2000,08,Alabama,7448,10897,18345,7868,13004,20873
2000,08,Alaska,1157,3152,4309,1099,2430,3529
2000,08,Arizona,5645,6661,12306,6121,6327,12449
2000,08,Arkansas,3972,9735,13707,4238,10418,14656
2000,08,California,26263,29619,55881,28545,27442,55987
2000,08,Colorado,11384,17481,28865,10746,17213,27959
2000,08,Connecticut,0,0,0,0,0,0
2000,08,Delaware,367,792,1159,410,930,1340
2000,08,District of Columbia,1,0,1,2,,2
2000,08,Florida,11667,10284,21950,11714,11303,23018
2000,08,Georgia,6975,11003,17978,7551,11907,19457
2000,08,Guam,6,19,24,6,15,21
2000,08,Hawaii,0,0,0,,,
2000,08,Idaho,1865,4374,6238,1894,4259,6153
2000,08,Illinois,4958,8679,13637,5570,8687,14256
2000,08,Indiana,1953,5511,7464,2161,5947,8108
2000,08,Iowa,46,3137,3183,52,4097,4150
2000,08,Kansas,2282,5304,7587,2604,5704,8308
2000,08,Kentucky,7566,12719,20285,8152,12943,21095
2000,08,Louisiana,5180,10134,15314,5375,10050,15425
2000,08,Maine,1142,2932,4073,1119,3070,4189
2000,08,Mariana Islands,0,0,0,,,
2000,08,Maryland,182,3725,3906,176,4106,4281
2000,08,Massachusetts,1290,938,2229,1425,1127,2552
2000,08,Michigan,88,14264,14352,107,16465,16572
2000,08,Minnesota,2693,13164,15856,2862,11302,14164
2000,08,Mississippi,4962,9584,14546,5324,9458,14782
2000,08,Missouri,2918,12485,15403,3162,13387,16549
2000,08,Montana,1693,4535,6228,1650,4408,6058
2000,08,Nebraska,22,2285,2307,24,2624,2648
2000,08,Nevada,2047,2180,4227,2005,2289,4294
2000,08,New Hampshire,1392,2164,3555,1348,2295,3643
2000,08,New Jersey,1398,2002,3400,1539,2194,3734
2000,08,New Mexico,2718,4749,7467,2734,4889,7623
2000,08,New York,737,8054,8791,890,9511,10401
2000,08,North Carolina,1652,15608,17260,1552,15331,16883
2000,08,North Dakota,413,2622,3035,462,2480,2942
2000,08,Ohio,8381,15049,23430,9395,16039,25435
2000,08,Oklahoma,4388,8706,13094,4771,9174,13946
2000,08,Oregon,4221,7215,11436,4377,7652,12029
2000,08,Pennsylvania,838,38170,39008,965,42501,43466
2000,08,Puerto Rico,421,189,610,348,133,480
2000,08,Rhode Island,410,441,851,436,476,913
2000,08,South Carolina,4352,7635,11987,4576,6777,11353
2000,08,South Dakota,490,3029,3519,570,3021,3591
2000,08,Tennessee,8932,12771,21703,9230,12145,21375
2000,08,Texas,16572,41350,57922,17947,36243,54190
2000,08,United States,191802,428278,620080,204137,435774,639911
2000,08,Utah,1684,4005,5689,1799,4421,6220
2000,08,Vermont,486,1219,1705,513,1418,1930
2000,08,Virgin Islands,0,0,0,,,
2000,08,Virginia,5979,9541,15520,6365,10591,16957
2000,08,Washington,3099,7245,10343,3275,7109,10384
2000,08,West Virginia,3110,7031,10141,3344,8667,12012
2000,08,Wisconsin,3509,11905,15414,3851,13016,16866
2000,08,Wyoming,851,1986,2837,861,1850,2711
2000,09,Alabama,7480,14686,22166,8205,13949,22154
2000,09,Alaska,1093,2901,3994,1189,2481,3670
2000,09,Arizona,5674,7018,12692,5817,6362,12179
2000,09,Arkansas,3649,13207,16855,4087,11584,15672
2000,09,California,24770,27742,52512,27730,26964,54693
2000,09,Colorado,11461,21312,32773,11360,17634,28994
2000,09,Connecticut,0,0,0,0,0,0
2000,09,Delaware,350,1065,1415,398,994,1392
2000,09,District of Columbia,0,0,0,0,,0
2000,09,Florida,10844,11553,22397,11765,11707,23472
2000,09,Georgia,7184,13881,21065,7971,12499,20470
2000,09,Guam,13,12,25,14,18,32
2000,09,Hawaii,0,0,0,,,
2000,09,Idaho,1901,6772,8672,1781,4646,6427
2000,09,Illinois,4806,9332,14138,5261,8761,14021
2000,09,Indiana,1803,6394,8197,2084,6236,8320
2000,09,Iowa,50,5139,5189,44,4471,4515
2000,09,Kansas,2402,6598,9000,2632,6141,8773
2000,09,Kentucky,7590,14969,22559,8172,14979,23151
2000,09,Louisiana,5481,14375,19856,5528,10930,16457
2000,09,Maine,1264,5210,6474,1080,3115,4194
2000,09,Mariana Islands,8,0,8,,,
2000,09,Maryland,158,5042,5201,153,4530,4683
2000,09,Massachusetts,1123,1184,2307,1188,1100,2287
2000,09,Michigan,85,25761,25846,99,18950,19049
2000,09,Minnesota,2770,23027,25797,2764,12563,15328
2000,09,Mississippi,4818,10824,15642,5458,10812,16270
2000,09,Missouri,2808,15066,17874,2998,14884,17882
2000,09,Montana,1793,7044,8837,1637,5105,6742
2000,09,Nebraska,30,3288,3318,29,2808,2837
2000,09,Nevada,2175,2669,4843,2281,2551,4832
2000,09,New Hampshire,1363,3233,4596,1287,2513,3800
2000,09,New Jersey,1274,2101,3375,1495,2182,3677
2000,09,New Mexico,2648,5499,8147,2812,5181,7993
2000,09,New York,866,12799,13664,912,9396,10309
2000,09,North Carolina,1658,17339,18997,1677,17245,18922
2000,09,North Dakota,432,4045,4477,430,2388,2818
2000,09,Ohio,8661,18429,27091,9093,17330,26423
2000,09,Oklahoma,4393,10305,14698,4954,10268,15222
2000,09,Oregon,4685,12296,16981,4392,8624,13016
2000,09,Pennsylvania,698,45750,46449,944,44071,45015
2000,09,Puerto Rico,393,147,540,358,108,465
2000,09,Rhode Island,421,491,912,449,455,904
2000,09,South Carolina,3898,8086,11984,4306,6767,11073
2000,09,South Dakota,554,4645,5200,557,3296,3853
2000,09,Tennessee,8295,13035,21330,9192,13117,22309
2000,09,Texas,16728,48604,65331,18409,36722,55131
2000,09,United States,190232,546781,737013,208222,478847,687070
2000,09,Utah,1603,6186,7789,1682,5067,6749
2000,09,Vermont,525,1949,2474,497,1383,1880
2000,09,Virgin Islands,0,0,0,,,
2000,09,Virginia,6290,11919,18208,6701,11292,17993
2000,09,Washington,3226,9891,13118,3290,7919,11209
2000,09,West Virginia,3457,10029,13486,3704,9117,12821
2000,09,Wisconsin,3706,20779,24485,3647,15082,18729
2000,09,Wyoming,876,3155,4030,864,2403,3267
2000,10,Alabama,7126,14792,21918,7381,12888,20269
2000,10,Alaska,1891,3955,5845,1318,2512,3830
2000,10,Arizona,5350,7236,12586,5834,6376,12210
2000,10,Arkansas,3739,14971,18710,3882,10271,14153
2000,10,California,29053,28212,57265,30170,27454,57625
2000,10,Colorado,10769,23364,34133,10698,16979,27677
2000,10,Connecticut,0,0,0,0,0,0
2000,10,Delaware,458,1329,1786,410,966,1376
2000,10,District of Columbia,0,0,0,0,,0
2000,10,Florida,11337,14073,25410,11173,11783,22956
2000,10,Georgia,6960,17201,24160,7198,12053,19251
2000,10,Guam,10,19,29,12,17,30
